,Age,Gender,Department,Designation,MonthlySalary,YearsWithCompany,YearsInRole,AppraisalRating,TrainingHours,DoesOvertime,JobSatisfaction,WorkLifeBalance,DistanceFromHome,LeavesTaken,LeftCompany,DistanceGroup,SalaryGroup,TrainingGroup
0,48,Other,HR,HR Executive,111813,5,0,3,37,1,4,3,12.2,4,0,5–15 km,111K-120K,36-40
1,26,Female,IT,Software Engineer,87425,5,2,3,39,0,2,2,36.7,29,0,30+km,81K-90K,36-40
2,40,Male,IT,Software Engineer,86461,4,4,2,32,0,2,3,45.4,0,1,30+km,81K-90K,31-35
3,54,Other,HR,HR Executive,23720,2,2,1,21,1,4,4,29.9,27,0,15–30 km,15K-30K,21-25
4,51,Other,Admin,Office Assistant,39041,7,1,1,30,0,2,2,26.8,6,1,15–30 km,31K-40K,26-30
5,59,Female,IT,Software Engineer,78229,4,4,4,47,0,2,2,23.9,25,0,15–30 km,71K-80K,46-50
6,33,Other,HR,HR Executive,106353,5,0,2,23,0,1,1,18.1,12,1,15–30 km,101K-110K,21-25
7,46,Male,IT,Software Engineer,48071,6,0,1,36,0,3,2,46.6,18,0,30+km,41K-50K,36-40
8,32,Other,Sales,Sales Associate,34670,3,2,5,33,0,3,4,48.1,24,0,30+km,31K-40K,31-35
9,32,Male,IT,Software Engineer,57228,3,0,3,46,1,2,3,34.7,19,1,30+km,51K-60K,46-50
10,39,Female,Sales,Sales Associate,69262,4,1,3,52,1,5,4,25.0,11,0,15–30 km,61K-70K,51-55
11,57,Female,Accounts,Accounts Officer,108728,4,0,2,1,0,5,3,18.9,23,0,15–30 km,101K-110K,0-5
12,24,Other,HR,HR Executive,43656,5,1,1,29,0,4,4,35.2,21,0,30+km,41K-50K,26-30
13,22,Other,IT,Software Engineer,87000,8,4,4,55,1,5,3,4.9,23,0,0–5 km,81K-90K,51-55
14,33,Other,HR,HR Executive,103459,3,3,5,0,0,5,4,25.6,28,0,15–30 km,101K-110K,0-5
15,36,Male,IT,Software Engineer,110079,9,2,3,17,0,4,2,37.7,14,1,30+km,111K-120K,16-20
16,31,Male,Sales,Sales Associate,49920,1,0,1,37,1,1,3,10.9,12,0,5–15 km,41K-50K,36-40
17,28,Female,Admin,Office Assistant,101350,4,4,5,32,1,1,4,39.6,14,0,30+km,101K-110K,31-35
18,44,Male,HR,HR Executive,29965,9,7,5,0,1,2,3,48.4,9,1,30+km,15K-30K,0-5
19,24,Other,Admin,Office Assistant,118228,9,2,1,55,1,3,2,35.6,17,1,30+km,111K-120K,51-55
20,55,Male,Accounts,Accounts Officer,44677,5,3,5,18,1,2,4,31.9,29,0,30+km,41K-50K,16-20
21,49,Female,IT,Software Engineer,17841,9,1,5,41,1,2,2,2.5,18,1,0–5 km,15K-30K,41-45
22,47,Other,Admin,Office Assistant,82546,9,2,1,20,0,5,2,5.7,18,0,5–15 km,81K-90K,16-20
23,30,Male,Accounts,Accounts Officer,45458,7,3,3,47,0,1,4,5.3,0,0,5–15 km,41K-50K,46-50
24,54,Other,IT,Software Engineer,44102,6,1,1,46,0,5,4,34.0,12,1,30+km,41K-50K,46-50
25,30,Other,Accounts,Accounts Officer,88874,4,2,5,36,0,4,3,31.0,27,0,30+km,81K-90K,36-40
26,40,Female,Admin,Office Assistant,69284,6,1,2,41,1,4,2,40.6,19,0,30+km,61K-70K,41-45
27,42,Female,Sales,Sales Associate,59794,3,1,1,51,1,1,4,42.9,8,1,30+km,51K-60K,51-55
